"Australia","20120411 01:30:00","Investment Lending for Homes","","","-7.100  %","1"
"Germany","20120411 06:00:00","Wholesale Price Index (MoM)","","0.800  %","1.000  %","1"
"Germany","20120411 06:00:00","Wholesale Price Index (YoY)","","2.100  %","2.600  %","1"
"Hungary","20120411 07:00:00","Consumer Price Index (YoY)","","","5.900  %","1"
"Hungary","20120411 07:00:00","Core Consumer Price Index (YoY)","","","5.400  %","1"
"Turkey","20120411 07:00:00","Current Account Balance","","","$ -6.000 ","1"
"Slovakia","20120411 07:00:00","Industrial Output (YoY)","","","7.000  %","1"
"Spain","20120411 07:00:00","Industrial Output Cal Adjusted (YoY)","","","-4.200  %","1"
"Denmark","20120411 07:00:00","Industrial Production (MoM)","","","1.800  %","1"
"Norway","20120411 08:00:00","Manufacturing Output","","","1.100  %","1"
"South Africa","20120411 11:00:00","Manufacturing Production Index (YoY)","","","2.400  %","1"
"United States","20120411 11:00:00","MBA Mortgage Applications","","","4.800  %","1"
"Canada","20120411 12:15:00","Housing Starts s.a (YoY)",""," 200.000 "," 201.100 ","2"
"United States","20120411 12:20:00","Fed's Lockhart speech","","","","1"
"United States","20120411 12:30:00","Import Price Index (MoM)","","0.800  %","0.400  %","1"
"United States","20120411 12:30:00","Import Price Index (YoY)","","3.500  %","5.500  %","1"
"Mexico","20120411 13:00:00","Industrial Output (MoM)","","","0.800  %","1"
"Mexico","20120411 13:00:00","Industrial Output (YoY)","","","4.200  %","1"
"United States","20120411 14:30:00","EIA Crude Oil Stocks change",""," 2.080 "," 9.009 ","1"
"United States","20120411 18:00:00","Fed's Beige Book","","","","2"
"United States","20120411 18:00:00","Monthly Budget Statement",""," -196.000 "," -232.000 ","2"
"United States","20120411 21:00:00","Fed's Bullard speech","","","","1"
"New Zealand","20120411 22:30:00","Business NZ PMI","",""," 57.700 ","2"
"New Zealand","20120411 22:45:00","Electronic Card Retail Sales  (MoM)",""," 0.500 "," -0.700 ","2"
"New Zealand","20120411 22:45:00","Electronic Card Retail Sales (YoY)","","4.300  %","8.200  %","2"
"South Africa","20120411 23:00:00","Unemployment Rate (%)","",""," 25.000 ","1"
"Japan","20120411 23:50:00","Domestic Corporate Goods Price Index (MoM)","","0.300  %","0.200  %","1"
"Japan","20120411 23:50:00","Domestic Corporate Goods Price Index (YoY)","","0.300  %","0.600  %","1"
"Japan","20120411 23:50:00","Money Supply M2+CD (YoY)","","2.800  %","2.900  %","1"
"country","date","name","actual","consensus","previous","volatility"
"Australia","20120411 00:30:00","Westpac Consumer Confidence","-1.600  %","","-5.000  %","2"
"Australia","20120411 01:30:00","Home Loans","-2.500  %","-3.500  %","-1.100  %","2"
"Australia","20120411 01:30:00","Investment Lending for Homes","4.400  %","","-7.100  %","1"
"Germany","20120411 06:00:00","Wholesale Price Index (MoM)","0.900  %","0.800  %","1.000  %","1"
"Germany","20120411 06:00:00","Wholesale Price Index (YoY)","2.200  %","2.100  %","2.600  %","1"
"Russia","20120411 06:10:00","Foreign Trade","$ 19.800 B","","","1"
"Hungary","20120411 07:00:00","Consumer Price Index (YoY)","5.500  %","","5.900  %","1"
"Hungary","20120411 07:00:00","Core Consumer Price Index (YoY)","5.000  %","","5.400  %","1"
"Turkey","20120411 07:00:00","Current Account Balance","$ -4.220 B","","$ -6.000 B","1"
"Slovakia","20120411 07:00:00","Industrial Output (YoY)","8.400  %","","2.100  %","1"
"Spain","20120411 07:00:00","Industrial Output Cal Adjusted (YoY)","-5.100  %","","-4.300  %","1"
"Denmark","20120411 07:00:00","Industrial Production (MoM)","-1.000  %","","1.800  %","1"
"Norway","20120411 08:00:00","Manufacturing Output","-0.700  %","","1.100  %","1"
"South Africa","20120411 11:00:00","Manufacturing Production Index (YoY)","4.100  %","","2.400  %","1"
"United States","20120411 11:00:00","MBA Mortgage Applications","-2.400  %","","4.800  %","1"
"Canada","20120411 12:15:00","Housing Starts s.a (YoY)"," 215.600 K"," 200.000 K"," 205.300 K","2"
"United States","20120411 12:20:00","Fed's Lockhart speech","","","","1"
"United States","20120411 12:30:00","Import Price Index (MoM)","1.300  %","0.800  %","-0.100  %","1"
"United States","20120411 12:30:00","Import Price Index (YoY)","3.400  %","3.500  %","5.500  %","1"
"Mexico","20120411 13:00:00","Industrial Output (MoM)","-1.700  %","","0.800  %","1"
"Mexico","20120411 13:00:00","Industrial Output (YoY)","","","4.200  %","1"
"United States","20120411 14:30:00","EIA Crude Oil Stocks change",""," 2.125 "," 9.009 ","1"
"United States","20120411 18:00:00","Fed's Beige Book","","","","2"
"United States","20120411 18:00:00","Monthly Budget Statement",""," -196.000 "," -232.000 ","2"
"United States","20120411 21:00:00","Fed's Bullard speech","","","","1"
"New Zealand","20120411 22:30:00","Business NZ PMI","",""," 57.700 ","2"
"New Zealand","20120411 22:45:00","Electronic Card Retail Sales  (MoM)",""," 0.500 "," -0.700 ","2"
"New Zealand","20120411 22:45:00","Electronic Card Retail Sales (YoY)","","4.300  %","8.200  %","2"
"South Africa","20120411 23:00:00","Unemployment Rate (%)","",""," 25.000 ","1"
"Japan","20120411 23:50:00","Domestic Corporate Goods Price Index (MoM)","","0.300  %","0.200  %","1"
"Japan","20120411 23:50:00","Domestic Corporate Goods Price Index (YoY)","","0.300  %","0.600  %","1"
"Japan","20120411 23:50:00","Money Supply M2+CD (YoY)","","2.800  %","2.900  %","1"
"country","date","name","actual","consensus","previous","volatility"
"Russia","20120412 00:00:00","Central Bank Reserves $","","","$ 512.600 ","1"
"Australia","20120412 01:00:00","Consumer Inflation Expectation","","","2.700  %","1"
"Australia","20120412 01:30:00","Unemployment Rate s.a.","","5.300  %","5.200  %","3"
"Australia","20120412 01:30:00","Employment Change s.a.",""," 6.000 "," -15.400 ","3"
"Korea Republic of","20120412 03:00:00","Money Supply Growth","",""," 9.100 ","1"
"France","20120412 05:30:00","Consumer Price Index (EU norm) final (MoM)","","","0.500  %","1"
"France","20120412 05:30:00","Consumer Price Index (EU norm) final (YoY)","","","2.500  %","1"
"India","20120412 05:30:00","Cumulative Industrial Output","","","4.000  %","1"
"India","20120412 05:30:00","Industrial Output","","","6.800  %","1"
"France","20120412 05:30:00","Inflation ex-tobacco (MoM)","","","0.400  %","1"
"India","20120412 05:30:00","Manufacturing Output","","","8.500  %","1"
"France","20120412 06:45:00","Current Account","","","€ -4.200 ","1"
"Sweden","20120412 07:30:00","Consumer Price Index (MoM)","","","0.700  %","1"
"Sweden","20120412 07:30:00","Consumer Price Index (YoY)","","","1.900  %","1"
"Netherlands","20120412 07:30:00","Retail Sales (YoY)","",""," 0.800 ","1"
"Czech Republic","20120412 08:00:00","Current Account (MoM)","",""," 14.180 ","1"
"European Monetary Union","20120412 08:00:00","ECB Monthly Report","","","","3"
"United Kingdom","20120412 08:30:00","Goods Trade Balance","","£ -7.650 ","£ -7.532 ","2"
"United Kingdom","20120412 08:30:00","Trade Balance; non-EU","","£ -3.850 ","£ -3.678 ","1"
"Portugal","20120412 09:00:00","Consumer Price Index (MoM)","","","0.100  %","1"
"Portugal","20120412 09:00:00","Consumer Price Index (YoY)","","","3.600  %","1"
"European Monetary Union","20120412 09:00:00","Industrial Production w.d.a. (YoY)","","-1.800  %","-1.200  %","2"
"European Monetary Union","20120412 09:00:00","Industrial Production s.a. (MoM)","","-0.300  %","0.200  %","1"
"Greece","20120412 09:00:00","Unemployment Rate (MoM)","","","21.000  %","1"
"Poland","20120412 12:00:00","Current Account","","","€ -1,831.000 ","1"
"United States","20120412 12:30:00","Initial Jobless Claims",""," 355.000 "," 357.000 ","1"
"United States","20120412 12:30:00","Continuing Jobless Claims",""," 3.335 "," 3.338 ","1"
"Canada","20120412 12:30:00","International Merchandise Trade","","$ 1.900 ","$ 2.100 ","1"
"Canada","20120412 12:30:00","New Housing Price Index (MoM)","","0.200  %","0.100  %","1"
"United States","20120412 12:30:00","Producer Price Index (MoM)","","0.300  %","0.400  %","1"
"United States","20120412 12:30:00","Producer Price Index (YoY)","","3.100  %","3.300  %","2"
"United States","20120412 12:30:00","Producer Price Index ex Food & Energy (MoM)","","0.200  %","0.200  %","1"
"United States","20120412 12:30:00","Producer Price Index ex Food & Energy (YoY)","","2.800  %","3.000  %","2"
"United States","20120412 12:30:00","Trade Balance","","$ -52.000 ","$ -52.570 ","2"
"United States","20120412 13:00:00","Fed's Lockhart speech","","","","1"
"United States","20120412 17:00:00","Fed Minneapolis's Narayana Kocherlakota speech ","","","","1"
"country","date","name","actual","consensus","previous","volatility"
"Korea Republic of","20120413 01:00:00","BoK Interest Rate Decision","","","3.250  %","1"
"China","20120413 02:00:00","Gross Domestic Product (YoY)","","8.300  %","8.900  %","3"
"China","20120413 02:00:00","Industrial Production (YoY)","","11.500  %","11.400  %","2"
"China","20120413 02:00:00","Retail Sales (YoY)","","15.000  %","14.700  %","2"
"Finland","20120413 06:00:00","Consumer Price Index (YoY)","","","3.100  %","1"
"Germany","20120413 06:00:00","Consumer Price Index (YoY)","","2.100  %","2.300  %","3"
"Germany","20120413 06:00:00","Consumer Price Index (MoM)","","0.300  %","0.700  %","2"
"Spain","20120413 07:00:00","Consumer Price Index (MoM)","","","0.100  %","1"
"Spain","20120413 07:00:00","Consumer Price Index (YoY)","","","2.000  %","1"
"Slovakia","20120413 07:00:00","Core Inflation (MoM)","","","0.200  %","1"
"Slovakia","20120413 07:00:00","Core Inflation (YoY)","","","2.400  %","1"
"Finland","20120413 07:00:00","Current Account","","","€ 0.200 ","1"
"Slovakia","20120413 07:00:00","Headline Inflation (MoM)","","","0.200  %","1"
"Slovakia","20120413 07:00:00","Headline Inflation (YoY)","","","3.800  %","1"
"Spain","20120413 07:00:00","HICP (MoM)","","","0.000  %","1"
"Spain","20120413 07:00:00","HICP (YoY)","","","1.900  %","1"
"Hungary","20120413 07:00:00","Industrial Output (YoY)","","","1.100  %","1"
"Italy","20120413 08:00:00","Industrial Output s.a. (MoM)","","","-2.500  %","1"
"Italy","20120413 08:00:00","Industrial Output w.d.a (YoY)","","","-5.000  %","1"
"United Kingdom","20120413 08:30:00","Producer Price Index - Input (MoM) n.s.a","","1.200  %","2.100  %","1"
"United Kingdom","20120413 08:30:00","Producer Price Index - Input (YoY) n.s.a","","4.600  %","7.300  %","2"
"United Kingdom","20120413 08:30:00","Producer Price Index - Output (MoM) n.s.a","","0.400  %","0.600  %","1"
"United Kingdom","20120413 08:30:00","Producer Price Index - Output (YoY) n.s.a","","3.400  %","4.100  %","2"
"Turkey","20120413 09:00:00","Budget Balance","",""," -2.600 ","1"
"Italy","20120413 09:00:00","Consumer Price Index (EU Norm) (MoM)","","","2.500  %","1"
"Italy","20120413 09:00:00","Consumer Price Index (EU Norm) (YoY)","","","3.800  %","1"
"Italy","20120413 09:00:00","Consumer Price Index (MoM)","","","0.500  %","1"
"India","20120413 11:30:00","FX Reserves, USD","","","$ 294.400 ","1"
"Poland","20120413 12:00:00","Consumer Price Index (MoM)","","","0.400  %","1"
"Poland","20120413 12:00:00","Consumer Price Index (YoY)","","","4.300  %","1"
"Poland","20120413 12:00:00","M3 Money Supply (YoY)","","","12.600  %","2"
"Brazil","20120413 12:00:00","Retail Sales","","","2.600  %","1"
"United States","20120413 12:30:00","Consumer Price Index (YoY)","","2.700  %","2.900  %","3"
"United States","20120413 12:30:00","Consumer Price Index (MoM)","","0.300  %","0.400  %","2"
"United States","20120413 12:30:00","Consumer Price Index Ex Food & Energy (MoM)","","0.200  %","0.100  %","2"
"United States","20120413 12:30:00","Consumer Price Index Ex Food & Energy (YoY)","","2.200  %","2.200  %","3"
"United States","20120413 13:55:00","Reuters/Michigan Consumer Sentiment Index",""," 76.200 "," 76.200 ","2"
"Argentina","20120413 19:00:00","Consumer Price Index (MoM)","","","0.700  %","1"
"country","date","name","actual","consensus","previous","volatility"
"country","date","name","actual","consensus","previous","volatility"
"China","20120415 01:30:00","FDI - Foreign Direct Investment (YTD)(YoY)","","-13.600  %","-0.600  %","2"
"Korea Republic of","20120415 03:00:00","Export Price Growth (YoY)","","","2.100  %","1"
"Korea Republic of","20120415 03:00:00","Trade Balance","","","$ 2.330 ","1"
"Korea Republic of","20120415 21:00:00","Import Growth (YoY)","","","5.200  %","1"
"New Zealand","20120415 22:45:00","Food Price Index (MoM)","","","0.600  %","1"
"United Kingdom","20120415 23:01:00","Rightmove House Price Index (YoY)","","","2.200  %","2"
"United Kingdom","20120415 23:01:00","Rightmove House Price Index (MoM)","","","1.600  %","1"
"country","date","name","actual","consensus","previous","volatility"
"Russia","20120416 00:00:00","Industrial Output","","","","1"
"India","20120416 06:30:00","WPI Inflation","","","6.950  %","1"
"Turkey","20120416 07:00:00","3mth quarterly jobless average","","","9.800  %","1"
"Turkey","20120416 07:00:00","Consumer Confidence","",""," 93.200 ","1"
"Czech Republic","20120416 07:00:00","Producer Price Index (MoM)","","","0.100  %","1"
"Czech Republic","20120416 07:00:00","Producer Price Index (YoY)","","","3.600  %","1"
"Switzerland","20120416 07:15:00","Producer and Import Prices (MoM)","","0.500  %","0.800  %","1"
"Switzerland","20120416 07:15:00","Producer and Import Prices (YoY)","","-1.800  %","-1.900  %","1"
"Turkey","20120416 08:00:00","Budget Balance","",""," -2.600 ","1"
"Italy","20120416 08:00:00","Global Trade Balance","",""," -4.350 ","1"
"Norway","20120416 08:00:00","Trade Balance","",""," 45.300 ","1"
"Italy","20120416 08:00:00","Trade Balance EU","","","€ 0.756 ","1"
"European Monetary Union","20120416 09:00:00","Trade Balance n.s.a.","","€ 3.000 ","€ -7.600 ","1"
"European Monetary Union","20120416 09:00:00","Trade Balance s.a.","","","€ 5.900 ","1"
"Canada","20120416 12:30:00","Canadian Investment in Foreign Securities","","","$ -1.260 ","1"
"Canada","20120416 12:30:00","Foreign investment in Canadian securities","","","$ -4.190 ","1"
"United States","20120416 12:30:00","NY Empire State Manufacturing Index",""," 18.000 "," 20.210 ","1"
"United States","20120416 12:30:00","Retail Sales (MoM)","","0.400  %","1.100  %","2"
"United States","20120416 12:30:00","Retail Sales ex Autos (MoM)","","0.600  %","0.900  %","2"
"United States","20120416 13:00:00","Net Long-Term TIC Flows","","","$ 101.000 ","2"
"United States","20120416 13:00:00","Total Net TIC Flows","","","$ 18.800 ","1"
"United States","20120416 14:00:00","Business Inventories","","0.600  %","0.700  %","2"
"United States","20120416 14:00:00","NAHB Housing Market Index",""," 28.000 "," 28.000 ","1"
"United States","20120416 19:30:00","Fed's Bullard speech","","","","1"
"country","date","name","actual","consensus","previous","volatility"
"Russia","20120417 00:00:00","Producer Price Index (MoM)","","","1.100  %","1"
"Russia","20120417 00:00:00","Producer Price Index (YoY)","","","7.000  %","1"
"Russia","20120417 00:00:00","Unemployment Rate","","","6.500  %","1"
"Australia","20120417 01:30:00","New Motor Vehicle Sales (MoM)","","","0.000  %","1"
"Australia","20120417 01:30:00","New Motor Vehicle Sales (YoY)","","","1.700  %","1"
"Australia","20120417 01:30:00","RBA Monetary Policy Statement","","","","3"
"China","20120417 02:00:00","FDI - Foreign Direct Investment (YTD)(YoY)","","-13.600  %","-0.600  %","2"
"Japan","20120417 04:30:00","Industrial Production (YoY)","","","-1.300  %","2"
"Japan","20120417 04:30:00","Capacity Utilization","","","3.400  %","1"
"Japan","20120417 04:30:00","Industrial Production (MoM)","","-1.200  %","1.900  %","1"
"Japan","20120417 05:00:00","Consumer Confidence Index",""," 40.000 "," 39.500 ","2"
"India","20120417 05:30:00","Cash Reserve Ratio","","","4.750  %","1"
"India","20120417 05:30:00","RBI Interest Rate Decision (Repo Rate)","","","8.500  %","1"
"India","20120417 05:30:00","Reserve Repo Rate","","","7.500  %","1"
"Slovakia","20120417 07:00:00","EU Norm Inflation (MoM)","","","0.200  %","1"
"Slovakia","20120417 07:00:00","EU Norm Inflation (YoY)","","","4.000  %","1"
"Austria","20120417 08:00:00","HICP (MoM)","",""," 0.500 ","1"
"Austria","20120417 08:00:00","HICP (YoY)","",""," 2.600 ","1"
"United Kingdom","20120417 08:30:00","Consumer Price Index (MoM)","","0.300  %","0.600  %","2"
"United Kingdom","20120417 08:30:00","Consumer Price Index (YoY)","","3.500  %","3.400  %","3"
"United Kingdom","20120417 08:30:00","DCLG House Price Index (YoY)","","0.400  %","0.200  %","1"
"United Kingdom","20120417 08:30:00","Retail Price Index (YoY)","","3.600  %","3.700  %","2"
"United Kingdom","20120417 08:30:00","Retail Price Index (MoM)","","0.400  %","0.800  %","1"
"European Monetary Union","20120417 09:00:00","Consumer Price Index (YoY)","","2.600  %","2.700  %","3"
"European Monetary Union","20120417 09:00:00","Consumer Price Index - Core (YoY)","","1.500  %","1.500  %","3"
"European Monetary Union","20120417 09:00:00","Consumer Price Index (MoM)","","1.200  %","0.500  %","2"
"European Monetary Union","20120417 09:00:00","ZEW Survey - Economic Sentiment",""," 10.700 "," 11.000 ","2"
"Germany","20120417 09:00:00","ZEW Survey - Economic Sentiment",""," 20.300 "," 22.300 ","2"
"Germany","20120417 09:00:00","ZEW Survey - Current Situation",""," 35.300 "," 37.600 ","2"
"European Monetary Union","20120417 12:30:00","ECB President Draghi's Speech","","","","3"
"United States","20120417 12:30:00","Housing Starts (MoM)",""," 0.705 "," 0.698 ","1"
"United States","20120417 12:30:00","Building Permits (MoM)",""," 0.710 "," 0.717 ","1"
"Canada","20120417 12:30:00","Manufacturing Shipments (MoM)","","-0.500  %","-0.900  %","1"
"Canada","20120417 12:30:00","New Motor Vehicle Sales (MoM)","","-2.300  %","15.400  %","1"
"Canada","20120417 13:00:00","BoC Interest Rate Decision","","1.000  %","1.000  %","3"
"United States","20120417 13:15:00","Industrial Production (MoM)","","0.300  %","0.000  %","2"
"United States","20120417 13:15:00","Capacity Utilization","","78.600  %","78.700  %","1"
"country","date","name","actual","consensus","previous","volatility"
"Australia","20120418 00:30:00","Conference Board Australia Leading Index","","","1.100  %","2"
"South Africa","20120418 08:00:00","Consumer Price Index (MoM)","","","0.600  %","1"
"South Africa","20120418 08:00:00","Consumer Price Index (YoY)","","","6.100  %","1"
"European Monetary Union","20120418 08:00:00","Current Account s.a","","€ 2.000 ","€ 4.500 ","1"
"European Monetary Union","20120418 08:00:00","Current Account n.s.a","","€ -0.500 ","€ -12.300 ","1"
"United Kingdom","20120418 08:30:00","Bank of England Minutes","","","","3"
"United Kingdom","20120418 08:30:00","ILO Unemployment Rate (3M)","","8.400  %","8.400  %","2"
"United Kingdom","20120418 08:30:00","Average Earnings excluding Bonus (3Mo/Yr)","","1.600  %","1.700  %","1"
"United Kingdom","20120418 08:30:00","Average Earnings including Bonus (3Mo/Yr)","","1.300  %","1.400  %","2"
"United Kingdom","20120418 08:30:00","Claimant Count Change",""," 7.000 "," 7.200 ","3"
"United Kingdom","20120418 08:30:00","Claimant Count Rate","","5.000  %","5.000  %","2"
"European Monetary Union","20120418 09:00:00","Construction Output  s.a (MoM)","","","-0.800  %","1"
"European Monetary Union","20120418 09:00:00","Construction Output w.d.a (YoY)","","","-1.400  %","1"
"Switzerland","20120418 09:00:00","ZEW Survey - Expectations",""," -8.000 "," 0.000 ","2"
"United States","20120418 11:00:00","MBA Mortgage Applications","","","-2.400  %","1"
"South Africa","20120418 11:00:00","Retail Sales (YoY)","","","3.900  %","1"
"India","20120418 11:30:00","M3 Money Supply","","","13.000  %","1"
"Poland","20120418 12:00:00","Corporate Sector Wages","","","4.300  %","1"
"Poland","20120418 12:00:00","Unemployment (MoM)","","","13.500  %","1"
"Turkey","20120418 13:00:00","TCMB Interest Rate Decision","","","5.750  %","1"
"Canada","20120418 14:30:00","Bank of Canada Monetary Policy Report","","","","3"
"United States","20120418 14:30:00","EIA Crude Oil Stocks change","",""," 2.791 ","1"
"Colombia","20120418 18:00:00","Trade Balance","","","$ 478.600 ","1"
"Brazil","20120418 22:00:00","Interest Rate Decision","","","9.750  %","1"
"New Zealand","20120418 22:45:00","Consumer Price Index (QoQ)","","0.600  %","-0.300  %","2"
"Japan","20120418 23:50:00","Adjusted Merchandise Trade Balance","","¥ -430.000 ","¥ -313.200 ","1"
"Japan","20120418 23:50:00","Merchandise Trade Balance Total","","¥ -220.000 ","¥ 32.900 ","2"
"country","date","name","actual","consensus","previous","volatility"
"Russia","20120419 00:00:00","Central Bank Reserves $","","","$ 516.700 ","1"
"All","20120419 n/a:00","G20 Meeting","","","","3"
"Australia","20120419 01:30:00","National Australia Bank's Business Confidence","",""," 1.000 ","2"
"Australia","20120419 01:30:00","RBA Foreign Exchange Transaction","",""," 372.000 ","1"
"Greece","20120419 05:00:00","Current Account (YoY)","","","€ -1.500 ","1"
"Denmark","20120419 07:00:00","Consumer Confidence","",""," -0.400 ","1"
"Hungary","20120419 07:00:00","Gross Wages (YoY)","","","4.300  %","1"
"Netherlands","20120419 07:30:00","Unemployment Rate s.a (3M)","","","6.000  %","1"
"Italy","20120419 08:00:00","Industrial Orders n.s.a (YoY)","","","-5.600  %","1"
"Italy","20120419 08:00:00","Industrial Orders s.a (MoM)","","","-7.400  %","1"
"Italy","20120419 08:00:00","Industrial Sales n.s.a. (YoY)","","","-4.400  %","1"
"Italy","20120419 08:00:00","Industrial Sales s.a. (MoM)","","","-4.900  %","1"
"Poland","20120419 12:00:00","Industrial Output (YoY)","","","4.600  %","1"
"Poland","20120419 12:00:00","Producer Price Index (YoY)","","","6.300  %","1"
"United States","20120419 12:30:00","Initial Jobless Claims",""," 370.000 "," 380.000 ","1"
"United States","20120419 12:30:00","Continuing Jobless Claims",""," 3.280 "," 3.251 ","1"
"Belgium","20120419 13:00:00","Consumer Confidence Index","",""," -12.000 ","1"
"European Monetary Union","20120419 14:00:00","Consumer Confidence",""," -19.000 "," -20.700 ","2"
"United States","20120419 14:00:00","Existing Home Sales (MoM)",""," 4.620 "," 4.590 ","2"
"United States","20120419 14:00:00","Existing Home Sales Change","","0.400  %","-0.900  %","1"
"United States","20120419 14:00:00","Leading Indicators (MoM)","","0.200  %","0.700  %","1"
"United States","20120419 14:00:00","Philadelphia Fed Manufacturing Survey",""," 12.000 "," 12.500 ","2"
"Japan","20120419 23:50:00","Tertiary Industry Index (MoM)","","0.800  %","-1.700  %","2"
"country","date","name","actual","consensus","previous","volatility"
"Russia","20120420 00:00:00","Gross Domestic Product Monthly (YoY)","","","5.400  %","1"
"Australia","20120420 01:30:00","Import Price Index (QoQ)","","-1.000  %","2.500  %","1"
"Australia","20120420 01:30:00","Export Price Index (QoQ)","","-2.000  %","-1.500  %","1"
"Germany","20120420 06:00:00","Producer Price Index (MoM)","","0.400  %","0.400  %","2"
"Germany","20120420 06:00:00","Producer Price Index (YoY)","","3.100  %","3.200  %","3"
"Netherlands","20120420 07:30:00","Consumer Confidence Adj","",""," -39.000 ","1"
"Netherlands","20120420 07:30:00","Consumer Spending Volume","","","-1.700  %","1"
"Germany","20120420 08:00:00","IFO - Expectations",""," 102.500 "," 102.700 ","2"
"Germany","20120420 08:00:00","IFO - Business Climate",""," 109.500 "," 109.800 ","2"
"Germany","20120420 08:00:00","IFO - Current Assessment",""," 117.000 "," 117.400 ","2"
"United Kingdom","20120420 08:30:00","Retail Sales (MoM)","","0.400  %","-0.800  %","1"
"United Kingdom","20120420 08:30:00","Retail Sales (YoY)","","1.400  %","1.000  %","2"
"United Kingdom","20120420 08:30:00","Retail Sales ex-Fuel (MoM)","","0.500  %","-0.800  %","1"
"United Kingdom","20120420 08:30:00","Retail Sales ex-Fuel (YoY)","","1.400  %","1.000  %","2"
"India","20120420 11:30:00","Bank Loan Growth","","","17.000  %","1"
"India","20120420 11:30:00","FX Reserves, USD","","","$ 292.900 ","1"
"Poland","20120420 12:00:00","Net Inflation","","","2.600  %","1"
"Canada","20120420 12:30:00","Consumer Price Index (MoM)","","0.500  %","0.400  %","2"
"Canada","20120420 12:30:00","Bank of Canada Consumer Price Index Core (MoM)","","0.300  %","0.400  %","2"
"Canada","20120420 12:30:00","Bank of Canada Consumer Price Index Core (YoY)","","1.900  %","2.300  %","3"
"Canada","20120420 12:30:00","Consumer Price Index (YoY)","","2.000  %","2.600  %","3"
"Canada","20120420 12:30:00","Leading Indicators (MoM)","","0.500  %","0.600  %","2"
"All","20120420 13:00:00","G20 Meeting","","","","3"
"Mexico","20120420 13:00:00","Jobless Rate","","","5.330  %","1"
"Mexico","20120420 13:00:00","Jobless Rate s.a","","","5.180  %","1"
"Colombia","20120420 18:00:00","Industrial ouput (YoY)","",""," 2.400 ","1"
"Argentina","20120420 19:00:00","Industrial Output n.s.a (YoY)","","","2.100  %","1"
"Argentina","20120420 19:00:00","Monthly Econ Activity (MoM)","","","5.500  %","1"
"Colombia","20120420 20:00:00","Retail Sales (YoY)","",""," 4.900 ","1"
"Argentina","20120420 21:00:00","Primary Budget Balance (MoM)","",""," 697.500 ","1"
"country","date","name","actual","consensus","previous","volatility"
"All","20120421 n/a:00","IMF Meeting","","","","2"
"country","date","name","actual","consensus","previous","volatility"
"All","20120422 n/a:00","IMF Meeting","","","","2"
"country","date","name","actual","consensus","previous","volatility"
"Australia","20120423 01:30:00","Producer Price Index (YoY)","1.400  %","2.200  %","2.900  %","2"
"Australia","20120423 01:30:00","Producer Price Index (QoQ)","-0.300  %","0.400  %","0.300  %","2"
"China","20120423 02:30:00","HSBC Manufacturing PMI"," 49.100 ",""," 48.300 ","3"
"Japan","20120423 05:00:00","Leading Economic Index"," 96.300 ",""," 94.600 ","2"
"Japan","20120423 05:00:00","Coincident Index"," 95.000 ",""," 94.100 ","1"
"United Kingdom","20120423 06:00:00","Nationwide Housing Prices s.a (MoM)","","","-1.000  %","2"
"United Kingdom","20120423 06:00:00","Nationwide Housing Prices n.s.a (YoY)","","","-0.900  %","2"
"France","20120423 06:45:00","Business Climate","",""," 96.000 ","1"
"France","20120423 06:58:00","Manufacturing PMI","",""," 46.700 ","1"
"France","20120423 06:58:00","Services PMI","","","","1"
"Germany","20120423 07:28:00","Purchasing Manager Index Manufacturing",""," 49.000 "," 48.400 ","2"
"Germany","20120423 07:28:00","Purchasing Manager Index Services",""," 52.300 "," 52.100 ","2"
"Netherlands","20120423 07:30:00","Business Confidence","",""," -2.600 ","1"
"European Monetary Union","20120423 07:58:00","Purchasing Manager Index Manufacturing",""," 48.100 "," 47.700 ","2"
"European Monetary Union","20120423 07:58:00","Purchasing Manager Index Services",""," 49.400 "," 49.200 ","2"
"Italy","20120423 08:00:00","Consumer Confidence","",""," 96.800 ","1"
"Italy","20120423 08:00:00","Trade Balance non-EU","","","€ -1.552 ","1"
"Hong Kong SAR","20120423 08:30:00","Consumer Price Index","","","4.700  %","1"
"Ireland","20120423 10:00:00","Retail Sales (MoM)","","","-0.300  %","1"
"Ireland","20120423 10:00:00","Retail Sales (YoY)","","","-1.900  %","1"
"Portugal","20120423 12:00:00","Current Account Balance","","","€ -0.808 ","1"
"Canada","20120423 12:30:00","Wholesale Sales (MoM)","","0.500  %","-1.000  %","1"
"Mexico","20120423 13:00:00","Retail Sales (MoM)","","","0.900  %","1"
"Mexico","20120423 13:00:00","Retail Sales (YoY)","","","4.400  %","1"
"Argentina","20120423 19:00:00","Trade Balance (MoM)","","","$ 1,341.000 ","1"
"Austria","20120423 22:00:00","Industrial Production (YoY)","","","","1"
"New Zealand","20120423 22:45:00","Visitor Arrivals (YoY)","","","-3.400  %","1"
"Japan","20120423 23:50:00","Corporate Service Price (YoY)","","-0.600  %","-0.600  %","1"
"country","date","name","actual","consensus","previous","volatility"
"Australia","20120424 01:30:00","Consumer Price Index (YoY)","","2.100  %","3.100  %","3"
"Australia","20120424 01:30:00","Consumer Price Index (QoQ)","","0.600  %","0.000  %","2"
"Finland","20120424 06:00:00","Export Prices (YoY)","","","1.200  %","1"
"Finland","20120424 06:00:00","Import Prices (YoY)","","","4.500  %","1"
"United Kingdom","20120424 06:00:00","Nationwide Housing Prices s.a (MoM)","","0.500  %","-1.000  %","2"
